Zip_CoDE,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher
34442,188,1.6,954,8,4642,38.7,2220,18.5,1063,8.9,1712,14.3,1206,10.1,90.5
34445,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-
34446,586,4.2,1314,9.4,4828,34.5,3185,22.8,1271,9.1,2205,15.8,608,4.3,86.4
34448,495,6,808,9.8,3614,43.9,1840,22.3,617,7.5,599,7.3,266,3.2,84.2
34449,70,3.2,315,14.5,876,40.4,503,23.2,116,5.3,177,8.2,113,5.2,82.3
34450,281,3.3,870,10.2,3141,36.9,1754,20.6,745,8.7,971,11.4,760,8.9,86.5
34452,311,3.6,965,11.2,3560,41.3,2014,23.4,653,7.6,697,8.1,413,4.8,85.2
34453,322,4,786,9.9,2818,35.4,2097,26.4,671,8.4,676,8.5,582,7.3,86.1
34461,218,2.7,841,10.4,2712,33.4,1962,24.2,710,8.8,1131,13.9,538,6.6,86.9
34465,444,3.3,1152,8.5,4870,36.1,3356,24.9,969,7.2,1865,13.8,847,6.3,88.2
34470,691,5.2,962,7.3,5155,39,3386,25.6,1204,9.1,1377,10.4,448,3.4,87.5
34471,593,3.4,1198,6.9,5125,29.6,3588,20.7,1721,9.9,3290,19,1795,10.4,89.7
34472,882,4.7,1608,8.5,7320,38.8,4208,22.3,2189,11.6,1747,9.3,892,4.7,86.8
34473,403,2.9,1704,12.2,4769,34.1,3316,23.7,1168,8.4,1912,13.7,699,5,84.9
34474,344,3.1,786,7.2,3444,31.4,2459,22.4,1359,12.4,1523,13.9,1042,9.5,89.7
34475,487,5.7,1407,16.4,3512,41,1804,21.1,461,5.4,542,6.3,350,4.1,77.9
34476,412,2.2,1433,7.8,6366,34.6,4608,25,1527,8.3,2805,15.2,1259,6.8,90
34479,290,3.1,780,8.2,4194,44.3,2163,22.9,852,9,873,9.2,309,3.3,88.7
34480,396,3.2,556,4.4,4647,37,2832,22.5,1082,8.6,1663,13.2,1384,11,92.4
34481,582,3.5,1383,8.4,4749,28.7,3940,23.8,1850,11.2,2561,15.5,1479,8.9,88.1
34482,850,4.8,2444,13.7,6575,36.8,3314,18.6,1742,9.8,2010,11.3,909,5.1,81.5
34484,128,5.3,103,4.2,686,28.2,718,29.5,347,14.3,372,15.3,77,3.2,90.5
34488,396,5.2,1070,13.9,3262,42.5,1527,19.9,751,9.8,528,6.9,143,1.9,80.9
34491,944,4.3,1887,8.5,8887,40.1,4359,19.7,1790,8.1,2859,12.9,1420,6.4,87.2
34498,3,0.6,49,10.1,162,33.5,96,19.9,38,7.9,98,20.3,37,7.7,89.2
34601,697,4.4,1742,11.1,5994,38.2,3170,20.2,1409,9,1781,11.3,902,5.7,84.5
34602,193,3.7,479,9.1,1826,34.6,1068,20.3,576,10.9,782,14.8,347,6.6,87.3
34604,317,4.1,837,10.9,2983,38.9,1702,22.2,613,8,766,10,450,5.9,85
34606,733,3.6,1839,9,7385,36.2,4922,24.1,2203,10.8,2311,11.3,1012,5,87.4
34607,123,1.7,619,8.7,2398,33.9,1874,26.5,656,9.3,932,13.2,481,6.8,89.5
34608,900,3.8,2162,9.2,9329,39.8,5271,22.5,2774,11.8,1966,8.4,1024,4.4,86.9
34609,1005,3.6,2126,7.7,8656,31.4,6917,25.1,3689,13.4,3488,12.6,1714,6.2,88.7
34610,311,3.3,1127,11.9,3622,38.4,2165,22.9,1008,10.7,747,7.9,459,4.9,84.8
34613,481,3.3,1494,10.3,5556,38.3,3459,23.8,1197,8.3,1486,10.2,833,5.7,86.4
34614,116,2.3,429,8.6,2018,40.4,1227,24.5,496,9.9,500,10,214,4.3,89.1
34637,196,3.3,656,11,1445,24.3,1245,20.9,621,10.4,1211,20.3,584,9.8,85.7
34638,120,0.8,720,4.7,3309,21.5,3142,20.4,2275,14.8,3740,24.3,2070,13.5,94.5
34639,574,3.1,964,5.2,4092,22.3,3830,20.8,2738,14.9,4166,22.7,2007,10.9,91.6
